Objective,Team 1,T1 Odds,Team 2,T2 Odds
Match Winner,Invictus Gaming,1.61,FunPlus Phoenix,2.35
Map Advantage,Invictus Gaming -1.5,2.24,FunPlus Phoenix +1.5,1.63,Invictus Gaming +1.5,1.33,FunPlus Phoenix -1.5,3.24,Invictus Gaming -2.5,4.25,FunPlus Phoenix +2.5,1.21,Invictus Gaming +2.5,1.11,FunPlus Phoenix -2.5,6.30
Correct Score,3:0,4.18,3:1,3.70,3:2,4.51,0:3,6.19,1:3,4.79,2:3,5.04
Total Maps Played,Under 4.5,1.48,Over 4.5,2.61,Under 3.5,3.43,Over 3.5,1.30
Invictus Gaming to win at least 1 map,Yes,1.11,No,6.30
FunPlus Phoenix to win at least 1 map,Yes,1.21,No,4.25
Winner Map 1,Invictus Gaming,1.73,FunPlus Phoenix,2.08
First Blood (Map 1),Invictus Gaming,1.96,FunPlus Phoenix,1.80
First to 5 Kills (Map 1),Invictus Gaming,1.88,FunPlus Phoenix,1.88
First to 10 Kills (Map 1),Invictus Gaming,1.82,FunPlus Phoenix,1.94
Total Kills (Map 1),Over 27.5,1.74,Under 27.5,2.04
Total Time (Map 1),Over 33:00,1.80,Under 33:00,1.97
Odd / Even Kills (Map 1),Odd,1.88,Even,1.88
Destroy First Tower (Map 1),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Dragon (Map 1),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Baron (Map 1),Invictus Gaming,1.86,FunPlus Phoenix,1.86
To kill Rift Herald (Map 1),Invictus Gaming,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 1),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 1),Rookie,1.87,TheShy,1.87
Most Kills #2 (Map 1),Doinb,1.92,Lwx,1.82
Winner Map 2,Invictus Gaming,1.73,FunPlus Phoenix,2.08
First Blood (Map 2),Invictus Gaming,1.94,FunPlus Phoenix,1.82
First to 5 Kills (Map 2),Invictus Gaming,1.88,FunPlus Phoenix,1.88
First to 10 Kills (Map 2),Invictus Gaming,1.82,FunPlus Phoenix,1.94
Total Kills (Map 2),Over 27.5,1.74,Under 27.5,2.04
Total Time (Map 2),Over 33:00,1.82,Under 33:00,1.94
Odd / Even Kills (Map 2),Odd,1.88,Even,1.88
Destroy First Tower (Map 2),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Dragon (Map 2),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Baron (Map 2),Invictus Gaming,1.81,FunPlus Phoenix,1.91
To kill Rift Herald (Map 2),Invictus Gaming,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 2),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 2),Rookie,1.87,TheShy,1.87
Most Kills #2 (Map 2),Doinb,1.92,Lwx,1.82
Winner Map 3,Invictus Gaming,1.73,FunPlus Phoenix,2.08
First Blood (Map 3),Invictus Gaming,1.94,FunPlus Phoenix,1.82
First to 5 Kills (Map 3),Invictus Gaming,1.88,FunPlus Phoenix,1.88
First to 10 Kills (Map 3),Invictus Gaming,1.82,FunPlus Phoenix,1.94
Total Kills (Map 3),Over 27.5,1.74,Under 27.5,2.04
Total Time (Map 3),Over 33:00,1.82,Under 33:00,1.94
Odd / Even Kills (Map 3),Odd,1.88,Even,1.88
Destroy First Tower (Map 3),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Dragon (Map 3),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Baron (Map 3),Invictus Gaming,1.81,FunPlus Phoenix,1.91
To kill Rift Herald (Map 3),Invictus Gaming,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 3),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 3),Rookie,1.87,TheShy,1.87
Most Kills #2 (Map 3),Doinb,1.92,Lwx,1.82
Winner Map 4,Invictus Gaming,1.75,FunPlus Phoenix,2.05
First Blood (Map 4),Invictus Gaming,1.94,FunPlus Phoenix,1.82
First to 5 Kills (Map 4),Invictus Gaming,1.88,FunPlus Phoenix,1.88
First to 10 Kills (Map 4),Invictus Gaming,1.82,FunPlus Phoenix,1.94
Total Kills (Map 4),Over 27.5,1.74,Under 27.5,2.04
Total Time (Map 4),Over 33:00,1.83,Under 33:00,1.93
Odd / Even Kills (Map 4),Odd,1.88,Even,1.88
Destroy First Tower (Map 4),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Dragon (Map 4),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Baron (Map 4),Invictus Gaming,1.81,FunPlus Phoenix,1.91
To kill Rift Herald (Map 4),Invictus Gaming,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 4),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 4),Rookie,1.87,TheShy,1.87
Most Kills #2 (Map 4),Doinb,1.92,Lwx,1.82
Winner Map 5,Invictus Gaming,1.76,FunPlus Phoenix,2.03
First Blood (Map 5),Invictus Gaming,1.94,FunPlus Phoenix,1.82
First to 5 Kills (Map 5),Invictus Gaming,1.88,FunPlus Phoenix,1.88
First to 10 Kills (Map 5),Invictus Gaming,1.82,FunPlus Phoenix,1.94
Total Kills (Map 5),Over 27.5,1.75,Under 27.5,2.03
Total Time (Map 5),Over 33:00,1.82,Under 33:00,1.94
Odd / Even Kills (Map 5),Odd,1.88,Even,1.88
Destroy First Tower (Map 5),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Dragon (Map 5),Invictus Gaming,1.86,FunPlus Phoenix,1.86
Kill First Baron (Map 5),Invictus Gaming,1.81,FunPlus Phoenix,1.91
To kill Rift Herald (Map 5),Invictus Gaming,1.86,FunPlus Phoenix,1.86
First Elemental Dragon (Map 5),Infernal Dragon,3.33,Mountain Dragon,3.33,Ocean Dragon,3.33,Cloud Dragon,3.33
Most Kills #1 (Map 5),Rookie,1.87,TheShy,1.87
Most Kills #2 (Map 5),Doinb,1.92,Lwx,1.82
